id,zip,lat,lng,city,state_id,state_name,county_name,county_names_all,timezone
238,1254,42.37982,-73.36545,Richmond,MA,Massachusetts,Berkshire,Berkshire,America/New_York
239,1255,42.10834,-73.1229,Sandisfield,MA,Massachusetts,Berkshire,Berkshire,America/New_York
240,1256,42.59628,-73.01957,Savoy,MA,Massachusetts,Berkshire,Berkshire,America/New_York
241,1257,42.09701,-73.36886,Sheffield,MA,Massachusetts,Berkshire,Berkshire,America/New_York
242,1258,42.10257,-73.46176,South Egremont,MA,Massachusetts,Berkshire,Berkshire,America/New_York
243,1259,42.07553,-73.23564,Southfield,MA,Massachusetts,Berkshire,Berkshire,America/New_York
244,1260,42.29587,-73.34517,South Lee,MA,Massachusetts,Berkshire,Berkshire,America/New_York
245,1262,42.29354,-73.3177,Stockbridge,MA,Massachusetts,Berkshire,Berkshire,America/New_York
246,1264,42.23411,-73.19903,Tyringham,MA,Massachusetts,Berkshire,Berkshire,America/New_York
247,1266,42.308,-73.38408,West Stockbridge,MA,Massachusetts,Berkshire,Berkshire,America/New_York
248,1267,42.67197,-73.23904,Williamstown,MA,Massachusetts,Berkshire,Berkshire,America/New_York
249,1270,42.51492,-73.04125,Windsor,MA,Massachusetts,Berkshire,Berkshire,America/New_York
250,1301,42.62406,-72.60401,Greenfield,MA,Massachusetts,Franklin,Franklin,America/New_York
251,1330,42.51377,-72.81395,Ashfield,MA,Massachusetts,Franklin,Franklin,America/New_York
252,1331,42.56728,-72.18294,Athol,MA,Massachusetts,Worcester,Worcester,America/New_York
253,1337,42.69503,-72.5771,Bernardston,MA,Massachusetts,Franklin,Franklin,America/New_York
254,1338,42.57358,-72.82134,Buckland,MA,Massachusetts,Franklin,Franklin,America/New_York
255,1339,42.60801,-72.89006,Charlemont,MA,Massachusetts,Franklin,Franklin,America/New_York
256,1340,42.6832,-72.71797,Colrain,MA,Massachusetts,Franklin,Franklin,America/New_York
